well_id;well_name;district;radon;uncertainty;unit;longitude;latitude;comment;Sample
W1;Anieli Krzywoń;Bemowo;13.913;1.216;Bq/l;20.917223;52.228912;;Rozicki 2018
W2;Bolimowska;Bemowo;2.160;0.246;Bq/l;20.880176;52.249310;;Rozicki 2018
W3;Borowego;Bemowo;6.508;0.663;Bq/l;20.907121;52.229795;;Rozicki 2018
W4;Kazubów;Bemowo;10.778;0.996;Bq/l;20.914665;52.243487;;Rozicki 2018
W5;Morcinka;Bemowo;1.815;0.206;Bq/l;20.919599;52.260825;;Rozicki 2018
W6;Powstańców Śląskich 67B;Bemowo;5.697;0.590;Bq/l;20.910342;52.234104;;Rozicki 2018
W7;Rozłogi 12A;Bemowo;4.957;0.525;Bq/l;20.902418;52.225480;;Rozicki 2018
W8;Rozłogi 2A;Bemowo;2.841;0.314;Bq/l;20.901225;52.222127;;Rozicki 2018
W9;Sternicza (r. Powstańców Śląskich);Bemowo;7.437;0.740;Bq/l;20.915615;52.223694;;Rozicki 2018
W10;Sternicza 125;Bemowo;4.268;0.459;Bq/l;20.899149;52.219976;;Rozicki 2018
W11;Szobera;Bemowo;4.993;0.526;Bq/l;20.899708;52.236540;;Rozicki 2018
W12;Wyki 19;Bemowo;23.333;1.771;Bq/l;20.898409;52.230119;;Rozicki 2018
W13;Mehoffera;Białołęka;12.275;1.047;Bq/l;20.947698;52.324659;;Rozicki 2018
W14;Pojarów 1A;Białołęka;12.485;1.226;Bq/l;20.957520;52.313957;;Rozicki 2018
W15;Dzierżoniowska 7;Bielany;10.947;1.035;Bq/l;20.924101;52.308607;;Rozicki 2018
W16;Estrady 112;Bielany;5.240;0.553;Bq/l;20.881494;52.300592;;Rozicki 2018
W17;Gąbińska 30;Bielany;13.611;1.245;Bq/l;20.958578;52.272606;;Rozicki 2018
W18;Klaudyny 18A;Bielany;3.046;0.336;Bq/l;20.976790;52.281199;;Rozicki 2018
W19;Kochanowskiego 10/12;Bielany;7.938;0.807;Bq/l;20.952655;52.267329;;Rozicki 2018
W20;Wolumen 10;Bielany;23.066;1.857;Bq/l;20.936587;52.282391;;Rozicki 2018
W21;Batuty 9;Mokotów;7.066;0.724;Bq/l;21.024097;52.171842;;Rozicki 2018
W22;Warneńska 2;Mokotów;7.140;0.713;Bq/l;21.048236;52.182258;;Rozicki 2018
W23;Barska;Ochota;5.371;0.561;Bq/l;20.979500;52.219344;;Rozicki 2018
W24;Pasteura 10 ;Ochota;3.298;0.361;Bq/l;20.981587;52.214260;;Rozicki 2018
W25;Grenadierów 51/59;Praga-Południe;5.665;0.589;Bq/l;21.077312;52.243127;;Rozicki 2018
W26;Lizbońska 4;Praga-Południe;15.598;1.336;Bq/l;21.067808;52.228096;;Rozicki 2018
W27;Majdańska;Praga-Południe;15.160;1.307;Bq/l;21.086073;52.239809;;Rozicki 2018
W28;Motorowa;Praga-Południe;10.323;0.971;Bq/l;21.081440;52.234009;;Rozicki 2018
W29;Szaserów 79;Praga-Południe;20.337;1.613;Bq/l;21.104223;52.246474;;Rozicki 2018
W30;Walecznych 59;Praga-Południe;16.795;1.400;Bq/l;21.062061;52.236576;;Rozicki 2018
W31;Panieńska;Praga-Północ;10.050;0.970;Bq/l;21.027866;52.250286;;Rozicki 2018
W32;plac Hallera 8A;Praga-Północ;4.820;0.516;Bq/l;21.030247;52.260648;;Rozicki 2018
W33;Strzelecka 13;Praga-Północ;4.443;0.483;Bq/l;21.040524;52.261844;;Rozicki 2018
W34;Anielewicza;Śródmieście;4.781;0.508;Bq/l;20.998558;52.249176;;Rozicki 2018
W35;Furmańska ;Śródmieście;0.446;0.032;Bq/l;21.019486;52.244907;;Rozicki 2018
W36;Inflancka 6;Śródmieście;6.732;0.688;Bq/l;20.991142;52.255022;;Rozicki 2018
W37;Książęca;Śródmieście;9.163;0.906;Bq/l;21.028226;52.230898;;Rozicki 2018
W38;L. Kaczyńskiego 7/9;Śródmieście;7.147;0.719;Bq/l;21.021182;52.218115;;Rozicki 2018
W39;Rynek Solecki 18;Śródmieście;13.248;1.259;Bq/l;21.039782;52.232154;;Rozicki 2018
W40;Wilcza;Śródmieście;3.730;0.408;Bq/l;21.012041;52.224351;;Rozicki 2018
W41;Wójtkowska 11;Śródmieście;2.610;0.293;Bq/l;21.005840;52.255019;;Rozicki 2018
W42;Kołowa;Targówek;9.013;0.883;Bq/l;21.050025;52.272209;;Rozicki 2018
W43;Poborzańska;Targówek;19.146;1.606;Bq/l;21.026748;52.289169;;Rozicki 2018
W44;Suwalska;Targówek;17.938;1.527;Bq/l;21.029348;52.295779;;Rozicki 2018
W45;aleja Bzów 22;Ursus;3.505;0.387;Bq/l;20.886980;52.186519;;Rozicki 2018
W46;Walerego Sławka;Ursus;19.762;1.628;Bq/l;20.894088;52.192623;;Rozicki 2018
W47;Ciszewskiego 10;Ursynów;55.374;3.093;Bq/l;21.046825;52.157783;;Rozicki 2018
W48;Dzierzby;Ursynów;8.089;0.811;Bq/l;21.018672;52.134540;;Rozicki 2018
W49;Romera 2;Ursynów;14.241;1.232;Bq/l;21.029385;52.155189;;Rozicki 2018
W50;Marysin Wawerski;Wawer;7.718;0.763;Bq/l;21.145487;52.238686;;Rozicki 2018
W51;Królowej Marysieńki 21;Wilanów;6.930;0.699;Bq/l;21.071269;52.173862;;Rozicki 2018
W52;Lentza;Wilanów;3.759;0.409;Bq/l;21.078711;52.173575;;Rozicki 2018
W53;Cietrzewia;Włochy;5.155;0.540;Bq/l;20.922933;52.203262;;Rozicki 2018
W54;Komitetu Obrony Robotników 39;Włochy;1.103;0.130;Bq/l;20.976285;52.180070;;Rozicki 2018
W55;Łuczek;Włochy;13.986;1.215;Bq/l;20.907499;52.207889;;Rozicki 2018
W56;Malownicza 31;Włochy;0;0;Bq/l;20.939128;52.177363;;Rozicki 2018
W57;Chłodna 15;Wola;1.848;0.208;Bq/l;20.990099;52.236630;;Rozicki 2018
W58;Deotymy 25;Wola;4.098;0.441;Bq/l;20.947544;52.242080;;Rozicki 2018
W59;Krępowieckiego 8;Wola;15.896;1.346;Bq/l;20.937122;52.237219;;Rozicki 2018
W60;Smocza 19;Wola;1.879;0.213;Bq/l;20.982722;52.246707;;Rozicki 2018
W61;Wolska 29;Wola;12.163;1.138;Bq/l;20.974106;52.235170;;Rozicki 2018
W14;Pojarów 1A;Białołęka;6.3;1.9;Bq/l;20.95752;52.313957;;Aksamit-Podgorska 2024
W29;Szaserów 79;Praga-Południe;14.3;4.2;Bq/l;21.104223;52.246474;;Aksamit-Podgorska 2024
W30;Walecznych 59;Praga-Południe;7;2.1;Bq/l;21.062061;52.236576;;Aksamit-Podgorska 2024
W43;Poborzańska;Targówek;12.7;3.8;Bq/l;21.026748;52.289169;;Aksamit-Podgorska 2024
W44;Suwalska;Targówek;9.5;2.8;Bq/l;21.029348;52.295779;;Aksamit-Podgorska 2024
W47;Ciszewskiego 10;Ursynów;32.7;9.9;Bq/l;21.046825;52.157783;;Aksamit 2023
W47;Ciszewskiego 10;Ursynów;34.6;10.4;Bq/l;21.046825;52.157783;;Aksamit-Podgorska 2024
W49;Romera 2;Ursynów;12.6;3.85;Bq/l;21.029385;52.155189;;Aksamit 2023
W49;Romera 2;Ursynów;23.8;7.1;Bq/l;21.029385;52.155189;;Aksamit-Podgorska 2024
W53;Cietrzewia;Włochy;4.3;1.45;Bq/l;20.922933;52.203262;;Aksamit 2023
